<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
US1.XOM;D;23/11/22;000000;113.5700000
US1.XOM;D;25/11/22;000000;113.2750000
US1.XOM;D;28/11/22;000000;109.8200000
US1.XOM;D;29/11/22;000000;110.5300000
US1.XOM;D;30/11/22;000000;111.3500000
US1.XOM;D;01/12/22;000000;110.8600000
US1.XOM;D;02/12/22;000000;109.8400000
US1.XOM;D;05/12/22;000000;106.7900000
US1.XOM;D;06/12/22;000000;103.8500000
US1.XOM;D;07/12/22;000000;103.6800000
